label,rating,review
negtive,2,Samsung threw a curve with the standard Galaxy S7| Like the S6 the S7 looks flat| but unlike the S6 the S7 screen has is a slight curve down on the edges| Zagg has established a great reputation for producing some of the best screen protectors out there| This is why I purchased the Zagg Invisible Shield Glass| which says on the box it is for the Galaxy S7 (not Edge)| but it will not fit properly| Because of the slight curve of the S7 screen at the edges| the Glass screen protector cannot adhere to the edge leaving a halo effect about one eighth of an inch around the edges| From my research| I found this issue has been documented on the web since last spring| Zagg no longer offers this screen protector for the S7 on their website| yet they never recalled the millions of units still out there| nor have they informed the retailers this item will not fit the S7 according to my Best Buy Associate| Zagg now offers the Glass Curve for the S7| which Best Buy does not offer at this time| However| the screen protector only comes in BLACK| The screen portion is clear with black opaque top and bottom that will cover the color portion of the phone| Now if you have a standard black phone| not a major issue| If you have a colored phone| the color of the phone is covered and you now have a black phone| Also| many have complained that the new Glass Curve makes the touch screen less sensitive requiring multiple swipes and harder pressure| Others have complained the edge of the Glass Curve shield will eventually lift from the screen|There are pros and cons to using a screen protector with today's Gorilla Glass 4| As far as film type protectors| I don't think they are necessary for today's screens| as they reduce the quality of the screen touch and view| and offer no real protection for screen breakage| As for the Glass type protectors| I do believe they offer protection for screen breakage while keeping the touch and view qualities of the screen|| In fairness to BB and Zagg| BB offered to return/refund and Zagg offered to replace with the new Curve Glass when available| I bought my Zagg as part of an accessory bundle and if refunded| I lose my discount on the other items in the bundle| I do not want a BLACK screen protector and it is unknown if Zagg will produce a clear version of the Glass Curve| The Invisible Shield Glass I have now functions| feels right to the touch| does not diminish the sensitivity of the screen| and the halo on the edge is only noticeable when the screen has a dark image or is off| I would only recommend this screen protector for the S7 if you can get it at an extreme discount as it will still protect| I highly recommend the Invisible Shield Glass for any device it actually fits|
negtive,1,Bought both the s7 and the Zagg InvisiSheild Glass| Actually| I bought two of the Zagg products| but| not because I wanted to| Let me explain||| I bought the phone and screen protector| though the screen protector was at a different store| It was close by| so i paid for it and picked it up| I came home and attempted to install using the easy install tabs| First| when I followed the instructions| and executed Step 2 - Remove protective film at 1 icon| the actual screen protector oil-resistant nano coating and scratch resistant tempered glass layer had separated from the Premium screen protection layer and the adhesive| I didn't realize this| because the screen protector and the protective film were indistinguishable from each other)| After several attempts of installing the protectors glass adhesive layer (not realizing the protector was already destroyed and useless because the main protection layer was not attached to the Glass and adhesive layers)| I kept noticing the edges wouldn't lay down| In attempting to seal them| I (like several other reviewers) ended up creating bubles in the main viewing area| In the process of trying to correct that| I ripped the adhesive layer and had no screen protection| I went back to Best Buy thinking it was all my fault (when in fact| even if it had laid down good| the product was defective in the box)| I bought a 2nd screen protector and this time I paid BestBuy to do it| It's on| but| it doesn't look like it is| You can see a gap between the s7's beveled edge| and the flat screen protector| My phone and screen protector are less than two days old| and because of the edges of the protector not clinging to the edge of the device| There are tons of dust and other stuff clinging to that edge of exposed adhesive| and| with part of the screen edge exposed| does the screen protector actually provide the level of protection it is intended to? Absolutely not| This was a bad release| period| It feels like they took one of the other protectors for a flat phone and branded it for the s7 to avoid not having a product when the phone released| while they try and fix it with a "curved glass" s7 model| I'm really hoping that Zagg will honor their Guarantee| and fix this problem for me| I have purchased Zagg protection for every device I have (Tab s| 2x s5| s7| 2x Nooks| etc)| In every situation with the exception of the Galaxy s7| I was thrilled with how the other Zagg products performed| ease of installation| and overall quality| I installed them easily and without any bubbles on my 10" Tab S| 9" Nooks| and my s5's| This s7 protector is not good|
negtive,1,I used to go commando| no screen protection and no case|||until I dropped my (fortunately very inexpensive and old Motorola) phone 2ft onto the street as I was getting out of my car| I can't tell you how many times I've done that| but this was the last drop| The screen was completely destroyed| Lucky me| I was due for an upgrade| Ultimately I purchased the Samsung Galaxy S7 (normal style| not the Edge)| For outer protection| I picked up a TECH21 EVO Check case| for which I did read reviews|||lots and lots of reviews| and it's perfect| For the screen I bought this Zagg Glass Screen Protector|||without reading reviews| Even as I type this| I still haven't read what others are saying about it| Instead I went on the recommendation from the Best Buy Employee| At home| excited to play with my new toy| I applied the glass screen to my new phone| I didn't have much trouble aligning it| and the yellow "peel this side off first|||don't touch the adhesive side" message was as clear and concise as could be| Then came the disappointment|||the S7 has a slight curve to it and the glass shield did not lay flat on the left and right edges| I could immediately see the potential for lint| dust| and funk to collect under this 1/8" lip on both sides| I thought I installed it wrong| So I got online| registered my shield| and then called Zagg for installation support| After looking me up in their system and hearing my complaint| the Zagg employee was quick to admit that this was a known problem| She confirmed that I had in fact correctly installed the shield| and then informed me that they have developed a shield to match my phone| She further explained that Zagg had not yet pulled all units back from the sales floors and that they will replace my purchase for free| After collecting/confirming my info she waived the shipping and mailed me (via USPS) the correct Glass Curve Shield (model: GS7CGC-BK0)| While there was no additional money out of my pocket| the replacement took 29 days to arrive| I couldn't find my replacement here on Best Buy's website| I have a feeling that Zagg still hasn't formally released it| Here's my 4-star review for that|||Patience| a steady hand| perfect vision| and a dust free environment is HIGHLY recommended for installation| The Glass Curve Invisible Shield for the Samsung Galaxy S7 fits perfectly on all edges| The border/trim has a black finish that helps to hide the fact that you have a screen protector at all| which I love! However| the symbols for the Home button and the Back button (the white back-lit capacitive buttons on the bottom left and right of the phone) are covered by the glass shield and its black finish| Etched through the black are the exact shapes for said buttons| Any error in placement of the glass shield will cover-up and/or block the backlight from these buttons| Applying this shield made me feel like the nervous bomb squad guy trying to cut the correct wire| Steady| Focus| Easy now| Easy| As if worrying that I hadn't cleared the screen of finger prints and dust wasn't enough| I was in a panic about correctly aligning the shield| There's probably a way to do it| but I couldn't figure out how to keep the Home and Back buttons on so I could see the light as I aligned the shield| And so| I did have to lift it back up once to correctly fit| Zagg should have instructions to do the following|||After cleaning and prepping to install the shield| hold the bottom edge against the phone and align the Home and Back buttons then slowly lower the glass over the speaker and camera at the top|All said and done| I really like the end results| This screen protector blends in perfectly with the TECH21 EVO case (Smokie/Black)| The finished look merits 5 stars| but perfection is required for the install to phone and not everyone has dexterity +100| For that I'd give it 3 stars| However| Zagg was friendly and compliant about the replacement so I'm averaging that out to 4-Stars|Good Luck!
negtive,1,I made the big mistake of not reading the reviews for this before I bought it| I've purchased Zagg products before and have always been happy|||especially with their screen protectors| I never purchased the glass protector before| but figured I would this time around since I now have to worry about my phone with a new child| Since Zagg has always been so great| I didn't bother reading the reviews| Boy| was that a mistake| Had a read the reviews ahead of time| I would have not purchased the glass protector| I purchased the S7 (not the S7 edge)| but what some people don't realize (people who are claiming that the review writers bought the S7 protector for the S7 edge) is that there is a slight curve to the screen on the edges| It's very subtle| but it is there and I didn't even realize it until I put the glass protector on and it didn't sit flat at the edges| I kept trying to push it down thinking I just didn't apply enough pressure at the edges| but if you squeeze down harder on the edges itself| then a bubble starts to form towards the middle| As it's the glass| it can't bend to fit securely on the screen| so once I put pressure on the edge| it was forces to keep it's form and come up in other places to achieve that state| My photos show where the protector didn't seal against the screen along the edge|||where it's sealed| it's black and where it's gray is where it's not sealed| I am very disappointed with Zagg on this product because had they actually tested this on a unit| they would have realized it wouldn't work and not sell it| Seems like the just got the measurements of the phone and just created the screen protector for it| I'm going to return this to Best Buy and purchased the HD screen protector||||of course after reading the reviews| I see that Zagg is going to come out with a curved glass protector for both the new S7 phones| but until then| I will need something to protect the screen|
negtive,3,The Zagg glass covering my (regular) Samsung S7 is terrific - with one major drawback| It seems that even my "regular" S7 has a slight curve in the screen on the long edges| Therefore the last 1/8" or so of the sides of the Zagg glass cover are not really touching the screen| If you don;t have a case| or if your case doesn't have tall enough sides to protect the screen| you will find yourself touching those areas| and inevitably making finger-edge-shaped breaks in the glass| This cannot be helped - the glass is hanging there| off the screen| These breaks only extend as far as the raised part of the cover (where it does not touch the screen)| but REALLY NOW||| This is not what I paid a premium price for| I would have thought this issue would have played into the design of the cover| I fear that ZAGG will be replacing this cover more than once over the phone's lifetime!
negtive,2,Not the best fit around the edges as others have stated| The S7 (non edge version) does have a slight bend around the edge of the glass| So the zaag glass screen protector does not fit well on the outside edge| It looks like you didn't press the screen protector down or have an air bubble on the Edge| but you don't| The screen protector is constantly lifted just a little off the screen| With a case on you don't notice it as much but if you try to drag icons to the Edge or use the edge of your phone it doesn't work until you press VERY hard| I purchased the non edge screen protector for the Non edge s7 and it just doesn't live up to the zaaz quality you expect| I gave it 1 star as it does protect the screen from damage but makes it hard to use| The 2nd star is because of the added "bonus" of collecting all the lint in my pocket| 2 photos are of the issue| pen is not lifting the screen protector just showing where the Edge is and the lifted edge| Case on the phone is the Spigen® [Ultra Hybrid] AIR CUSHION [Crystal Clear]
negtive,1,Even after being assured by Best Buy rep (who was great BTW & did look at these reviews with me) that this thing would fit| it doesn't| Not even a week later & dust/dirt under both sides| Contacted Zagg||| who is now putting one out that DOES cover the edges| Zaggs reply was that this is SUPPOSED to fit like this| That this protector is supposed to have a halo effect on around the edges and that all of their products have a lift| Huh?? So then why not advertise this as such due to the S7 design & inform your biggest retailer that the sides will NOT lay flat?? $700 phone||| I don't want some misfit piece of junk covering the screen| And unfortunately| this is all Best Buy has to offer if you want to leave the store with a protector on| Zagg is indeed putting out a new one that promises to cover the sides of both S7 and S7 Edge| I guess thats a coincidence? And they are NOT going to exchange these defects (that they claim are not defective)| They are offering an exchange for the exact same product| So by that offer| and their joke offer of free shipping||| we should be exchanging these weekly then? Major fail on Zagg| Major fail for not letting Best Buy reps know this product is "supposed" to not lay flat| And major fail for not being willing to exchange them| Stay far away from this mess| Unless you want to be $48 out| $39|99 plus installation| You work too hard for your money||| don't throw it away|
negtive,1,I have always used| recommended| and even sold Zagg screen protectors (as a wireless professional) but I must admit| these S7 "Invisible Shield Glass" suck!!! Thinking it was an issue with the installation or possibly a defective product I emailed Zagg & they sent me a replacement| waived shipping costs| and didn't require that I sent them the original "shield" back| Well after a week and a half I got the new one & (after I powered it off and let it sit for 5-10 mins) I obsessively cleaned my brand new S7| installed the new "shield" and let it sit overnight| The next morning I awoke to find the same "halo" or ring around my screen where the adhesive didn't stick| I emailed Zagg 3 times more asking if I paid the difference and upgraded to the "Curved Glass Shield" would it remedy my issue|||| 10 days later and well outside my orig| 30 i'm still awaiting an answer| Is this really what they provide a customer for $44|99?!? I put my otterbox on it and left it on untill I find a company who makes something suitable| You made me sad Zagg|||| Not cool @ all!
positive,5,I have used Zagg screen protectors for all my devices| and if I need to replace my crack screen protector| not a problem when I can just pay $5 for a replacement| I believe that this is best screen protector on the market today| The great thing about this protector and not just this protector from Zagg but all their screen protectors have a lifetime warranty| After your purchase the screen protector the first thing you do is go to the Zagg website and register the screen protector| because If your screen protector has happens to crack| instead of having to buy a new one| just login into the Zagg website| and order a replacement screen for only $5 which covers shipping or shipping is free I don't remember| They will send you a screen protector| once you received in the mail go to best buy have them remove the old screen protector| and put on the new screen protector| Then you send old screen protector back to Zagg using the yellow envelope that they sent you in the mail| Though| you spend a lot of money for the best screen protector on the market| and if it cracks| order a replacement for $5| and send in the old one| without having to buy a new one each time| I recommend getting the Glass screen protector| NOT the Plastic version| I will say for the S7 screen protectors that there a some batches of the product out there that have not worked out the issue with fully protecting the screen with the short curve it has| I still does the job because I have a case on my S7| you hardly notice it|
negtive,2,Let me say that I love Samsung and the Galaxy phones as well as Zagg| in the past I have had nothing but great experiences with both products and companies| However| the new phones| specifically the Galaxy S7| has a beveled edge to the screen| This means that the screen protector will NOT lay flat all the way to the edge| The original salesperson gave me the line that the screen protector would "blend" to the edges over time| It has been months and the edges are still off the glass| And let me be clear| the staff at Best Buy installed this product| I have kept the screen protector on| but this means that dirt gathers under the lip and it suffers from small frays and cracks| I have no idea what Zagg would say if the glass broke| probably something about it being my fault since the screen protector was frayed| But it still provides protection for the phone| I am just hoping that with all of the engineering minds at both companies| they will come out with a screen protector that lays flat| But as I am writing this| the salesperson I recently spoke with says that it doesn't exist|
