review,label
Samsung threw a curve with the standard Galaxy S7 Like the S6 the S7 looks flat but unlike the S6 the S7 screen has is a slight curve down on the edges Zagg has established a great reputation for producing some of the best screen protectors out there This is why I purchased the Zagg Invisible Shield Glass which says on the box it is for the Galaxy S7 not Edge but it will not fit properly Because of the slight curve of the S7 screen at the edges the Glass screen protector can not adhere to the edge leaving a halo effect about one eighth of an inch around the edges From my research I found this issue has been documented on the web since last spring Zagg no longer offers this screen protector for the S7 on their website yet they never recalled the millions of units still out there nor have they informed the retailers this item will not fit the S7 according to my Best Buy Associate Zagg now offers the Glass Curve for the S7 which Best Buy does not offer at this time However the screen protector only comes in BLACK The screen portion is clear with black opaque top and bottom that will cover the color portion of the phone Now if you have a standard black phone not a major issue If you have a colored phone the color of the phone is covered and you now have a black phone Also many have complained that the new Glass Curve makes the touch screen less sensitive requiring multiple swipes and harder pressure Others have complained the edge of the Glass Curve shield will eventually lift from the screenThere are pros and cons to using a screen protector with todays Gorilla Glass 4 As far as film type protectors I dont think they are necessary for todays screens as they reduce the quality of the screen touch and view and offer no real protection for screen breakage As for the Glass type protectors I do believe they offer protection for screen breakage while keeping the touch and view qualities of the screen In fairness to BB and Zagg BB offered to returnrefund and Zagg offered to replace with the new Curve Glass when available I bought my Zagg as part of an accessory bundle and if refunded I lose my discount on the other items in the bundle I do not want a BLACK screen protector and it is unknown if Zagg will produce a clear version of the Glass Curve The Invisible Shield Glass I have now functions feels right to the touch does not diminish the sensitivity of the screen and the halo on the edge is only noticeable when the screen has a dark image or is off I would only recommend this screen protector for the S7 if you can get it at an extreme discount as it will still protect I highly recommend the Invisible Shield Glass for any device it actually fits ,positive
Bought both the s7 and the Zagg InvisiSheild Glass Actually I bought two of the Zagg products but not because I wanted to Let me explain I bought the phone and screen protector though the screen protector was at a different store It was close by so i paid for it and picked it up I came home and attempted to install using the easy install tabs First when I followed the instructions and executed Step 2 Remove protective film at 1 icon the actual screen protector oilresistant nano coating and scratch resistant tempered glass layer had separated from the Premium screen protection layer and the adhesive I didnt realize this because the screen protector and the protective film were indistinguishable from each other After several attempts of installing the protectors glass adhesive layer not realizing the protector was already destroyed and useless because the main protection layer was not attached to the Glass and adhesive layers I kept noticing the edges wouldnt lay down In attempting to seal them I like several other reviewers ended up creating bubles in the main viewing area In the process of trying to correct that I ripped the adhesive layer and had no screen protection I went back to Best Buy thinking it was all my fault when in fact even if it had laid down good the product was defective in the box I bought a 2nd screen protector and this time I paid BestBuy to do it Its on but it doesnt look like it is You can see a gap between the s7s beveled edge and the flat screen protector My phone and screen protector are less than two days old and because of the edges of the protector not clinging to the edge of the device There are tons of dust and other stuff clinging to that edge of exposed adhesive and with part of the screen edge exposed does the screen protector actually provide the level of protection it is intended to Absolutely not This was a bad release period It feels like they took one of the other protectors for a flat phone and branded it for the s7 to avoid not having a product when the phone released while they try and fix it with a curved glass s7 model Im really hoping that Zagg will honor their Guarantee and fix this problem for me I have purchased Zagg protection for every device I have Tab s 2x s5 s7 2x Nooks etc In every situation with the exception of the Galaxy s7 I was thrilled with how the other Zagg products performed ease of installation and overall quality I installed them easily and without any bubbles on my 10 Tab S 9 Nooks and my s5s This s7 protector is not good ,positive
I used to go commando no screen protection and no caseuntil I dropped my fortunately very inexpensive and old Motorola phone 2ft onto the street as I was getting out of my car I cant tell you how many times Ive done that but this was the last drop The screen was completely destroyed Lucky me I was due for an upgrade Ultimately I purchased the Samsung Galaxy S7 normal style not the Edge For outer protection I picked up a TECH21 EVO Check case for which I did read reviewslots and lots of reviews and its perfect For the screen I bought this Zagg Glass Screen Protectorwithout reading reviews Even as I type this I still havent read what others are saying about it Instead I went on the recommendation from the Best Buy Employee At home excited to play with my new toy I applied the glass screen to my new phone I didnt have much trouble aligning it and the yellow peel this side off firstdont touch the adhesive side message was as clear and concise as could be Then came the disappointmentthe S7 has a slight curve to it and the glass shield did not lay flat on the left and right edges I could immediately see the potential for lint dust and funk to collect under this 18 lip on both sides I thought I installed it wrong So I got online registered my shield and then called Zagg for installation support After looking me up in their system and hearing my complaint the Zagg employee was quick to admit that this was a known problem She confirmed that I had in fact correctly installed the shield and then informed me that they have developed a shield to match my phone She further explained that Zagg had not yet pulled all units back from the sales floors and that they will replace my purchase for free After collectingconfirming my info she waived the shipping and mailed me via USPS the correct Glass Curve Shield model GS7CGCBK0 While there was no additional money out of my pocket the replacement took 29 days to arrive I couldnt find my replacement here on Best Buys website I have a feeling that Zagg still hasnt formally released it Heres my 4star review for thatPatience a steady hand perfect vision and a dust free environment is HIGHLY recommended for installation The Glass Curve Invisible Shield for the Samsung Galaxy S7 fits perfectly on all edges The bordertrim has a black finish that helps to hide the fact that you have a screen protector at all which I love However the symbols for the Home button and the Back button the white backlit capacitive buttons on the bottom left and right of the phone are covered by the glass shield and its black finish Etched through the black are the exact shapes for said buttons Any error in placement of the glass shield will coverup andor block the backlight from these buttons Applying this shield made me feel like the nervous bomb squad guy trying to cut the correct wire Steady Focus Easy now Easy As if worrying that I hadnt cleared the screen of finger prints and dust wasnt enough I was in a panic about correctly aligning the shield Theres probably a way to do it but I couldnt figure out how to keep the Home and Back buttons on so I could see the light as I aligned the shield And so I did have to lift it back up once to correctly fit Zagg should have instructions to do the followingAfter cleaning and prepping to install the shield hold the bottom edge against the phone and align the Home and Back buttons then slowly lower the glass over the speaker and camera at the topAll said and done I really like the end results This screen protector blends in perfectly with the TECH21 EVO case SmokieBlack The finished look merits 5 stars but perfection is required for the install to phone and not everyone has dexterity 100 For that Id give it 3 stars However Zagg was friendly and compliant about the replacement so Im averaging that out to 4StarsGood Luck ,positive
I made the big mistake of not reading the reviews for this before I bought it Ive purchased Zagg products before and have always been happyespecially with their screen protectors I never purchased the glass protector before but figured I would this time around since I now have to worry about my phone with a new child Since Zagg has always been so great I didnt bother reading the reviews Boy was that a mistake Had a read the reviews ahead of time I would have not purchased the glass protector I purchased the S7 not the S7 edge but what some people dont realize people who are claiming that the review writers bought the S7 protector for the S7 edge is that there is a slight curve to the screen on the edges Its very subtle but it is there and I didnt even realize it until I put the glass protector on and it didnt sit flat at the edges I kept trying to push it down thinking I just didnt apply enough pressure at the edges but if you squeeze down harder on the edges itself then a bubble starts to form towards the middle As its the glass it cant bend to fit securely on the screen so once I put pressure on the edge it was forces to keep its form and come up in other places to achieve that state My photos show where the protector didnt seal against the screen along the edgewhere its sealed its black and where its gray is where its not sealed I am very disappointed with Zagg on this product because had they actually tested this on a unit they would have realized it wouldnt work and not sell it Seems like the just got the measurements of the phone and just created the screen protector for it Im going to return this to Best Buy and purchased the HD screen protectorof course after reading the reviews I see that Zagg is going to come out with a curved glass protector for both the new S7 phones but until then I will need something to protect the screen ,positive
The Zagg glass covering my regular Samsung S7 is terrific with one major drawback It seems that even my regular S7 has a slight curve in the screen on the long edges Therefore the last 18 or so of the sides of the Zagg glass cover are not really touching the screen If you dont have a case or if your case doesnt have tall enough sides to protect the screen you will find yourself touching those areas and inevitably making fingeredgeshaped breaks in the glass This can not be helped the glass is hanging there off the screen These breaks only extend as far as the raised part of the cover where it does not touch the screen but REALLY NOW This is not what I paid a premium price for I would have thought this issue would have played into the design of the cover I fear that ZAGG will be replacing this cover more than once over the phones lifetime ,negative
Not the best fit around the edges as others have stated The S7 non edge version does have a slight bend around the edge of the glass So the zaag glass screen protector does not fit well on the outside edge It looks like you didnt press the screen protector down or have an air bubble on the Edge but you dont The screen protector is constantly lifted just a little off the screen With a case on you dont notice it as much but if you try to drag icons to the Edge or use the edge of your phone it doesnt work until you press VERY hard I purchased the non edge screen protector for the Non edge s7 and it just doesnt live up to the zaaz quality you expect I gave it 1 star as it does protect the screen from damage but makes it hard to use The 2nd star is because of the added bonus of collecting all the lint in my pocket 2 photos are of the issue pen is not lifting the screen protector just showing where the Edge is and the lifted edge Case on the phone is the Spigen® Ultra Hybrid AIR CUSHION Crystal Clear ,positive
Even after being assured by Best Buy rep who was great BTW did look at these reviews with me that this thing would fit it doesnt Not even a week later dustdirt under both sides Contacted Zagg who is now putting one out that DOES cover the edges Zaggs reply was that this is SUPPOSED to fit like this That this protector is supposed to have a halo effect on around the edges and that all of their products have a lift Huh So then why not advertise this as such due to the S7 design inform your biggest retailer that the sides will NOT lay flat 700 phone I dont want some misfit piece of junk covering the screen And unfortunately this is all Best Buy has to offer if you want to leave the store with a protector on Zagg is indeed putting out a new one that promises to cover the sides of both S7 and S7 Edge I guess thats a coincidence And they are NOT going to exchange these defects that they claim are not defective They are offering an exchange for the exact same product So by that offer and their joke offer of free shipping we should be exchanging these weekly then Major fail on Zagg Major fail for not letting Best Buy reps know this product is supposed to not lay flat And major fail for not being willing to exchange them Stay far away from this mess Unless you want to be 48 out 3999 plus installation You work too hard for your money dont throw it away ,negative
I have always used recommended and even sold Zagg screen protectors as a wireless professional but I must admit these S7 Invisible Shield Glass suck Thinking it was an issue with the installation or possibly a defective product I emailed Zagg they sent me a replacement waived shipping costs and didnt require that I sent them the original shield back Well after a week and a half I got the new one after I powered it off and let it sit for 510 mins I obsessively cleaned my brand new S7 installed the new shield and let it sit overnight The next morning I awoke to find the same halo or ring around my screen where the adhesive didnt stick I emailed Zagg 3 times more asking if I paid the difference and upgraded to the Curved Glass Shield would it remedy my issue 10 days later and well outside my orig 30 im still awaiting an answer Is this really what they provide a customer for 4499 I put my otterbox on it and left it on untill I find a company who makes something suitable You made me sad Zagg Not cool all ,negative
I have used Zagg screen protectors for all my devices and if I need to replace my crack screen protector not a problem when I can just pay 5 for a replacement I believe that this is best screen protector on the market today The great thing about this protector and not just this protector from Zagg but all their screen protectors have a lifetime warranty After your purchase the screen protector the first thing you do is go to the Zagg website and register the screen protector because If your screen protector has happens to crack instead of having to buy a new one just login into the Zagg website and order a replacement screen for only 5 which covers shipping or shipping is free I dont remember They will send you a screen protector once you received in the mail go to best buy have them remove the old screen protector and put on the new screen protector Then you send old screen protector back to Zagg using the yellow envelope that they sent you in the mail Though you spend a lot of money for the best screen protector on the market and if it cracks order a replacement for 5 and send in the old one without having to buy a new one each time I recommend getting the Glass screen protector NOT the Plastic version I will say for the S7 screen protectors that there a some batches of the product out there that have not worked out the issue with fully protecting the screen with the short curve it has I still does the job because I have a case on my S7 you hardly notice it ,positive
Let me say that I love Samsung and the Galaxy phones as well as Zagg in the past I have had nothing but great experiences with both products and companies However the new phones specifically the Galaxy S7 has a beveled edge to the screen This means that the screen protector will NOT lay flat all the way to the edge The original salesperson gave me the line that the screen protector would blend to the edges over time It has been months and the edges are still off the glass And let me be clear the staff at Best Buy installed this product I have kept the screen protector on but this means that dirt gathers under the lip and it suffers from small frays and cracks I have no idea what Zagg would say if the glass broke probably something about it being my fault since the screen protector was frayed But it still provides protection for the phone I am just hoping that with all of the engineering minds at both companies they will come out with a screen protector that lays flat But as I am writing this the salesperson I recently spoke with says that it doesnt exist ,negative
I had Zagg glass piece on my S5 and then I threw my phone out of anger and it shattered the Zagg glass but kept my S5 screen intact I called Zagg n they sent me a replacement glass for my S5 So when I bought the S7 I decided to pay the 8 for the Best Buy employee to put it on The girl ruined the first one then the second attempt had a crack in it so it wouldnt seal right and the third time a piece of lint was trapped The fourth time was the charm or so I thought The edges look like they are still not sealed kind of looks like small bubbles and i keep trying to press it down and they disappear and come right back Its been over a month and I just havent had time to go back to Best Buy Its noticeable but not enough for me to go up there Well last week i was pushing on the edges as i often do and now its got a small crack that looks like how a window looks when a bullet goes through it There is also a chip on the edge that curves around the home button Now Im not happy especially since this was a 40 piece of glass Ive never had issues with Zagg glass until this one for my S7 It just seems like the quality isnt as good I hope they can replace it at store when I go this week Im going to give this one more try because Ive always considered these Zagg glass pieces to be a good investment to protect my phones expensive screen ,positive
I had a different brand screen protector from verizon store for 2 years on my HTC One M8 and it worked great I upgrade to the S7 and got the zagg screen prootector and it doesnt respond to my touch on one side of the screen unless i press down harder than normal Also if i run my finger along the side it wont start to recognize my touch until about a third of the way up the screen I tried returning it to Best Buy within 15 days and they refused to return or exchange it and instead directed me to the manufacturers website 3 weeks after purchase the screen chipped on the side and started to crack even though i never even dropped the phone or treated it roughly Apparently now i have to spend additonal funds for shipping to replace this fine product when it is a lifetime warranty Puts a bad taste in the mouth because of Best Buys return policy or should i say lack there of To top it off there is nothing on the receipt that explains their return policy Better yet the cell phone rep installs it immediately on the phone when its purchased which immediately cancels any chance of returning if you changed your mind ,negative
When I originally bought this product it was 40 Immediately after putting it on the screen protector did not adhere to my phone on the outside edges at all I have a regular Samsung Galaxy s7 not s7 edge and I made sure to buy the right screen protector But when I put it on my phone there is at least a centimeter or two on the entire outside edge that is lifted up and will not stick to the phone My friend had the same problem and even after ordering a replacement the replacement had the same exact issue as well Before ordering the replacement I had the original for two months and let me tell you there were cracks EVERYWHERE It would crack at the lightest drop bump scratch anything Honestly it cracked much easier than the phone itself ever would and while that should be a good thing it was just annoying Because the entire outer edge is lifted its super easy so get water or dust particles stuck underneath the screen protector Overall this purchase was a mistake Just stay with regular screen protectorsnot the glass ones Theyll save you a lot of money and frustration ,negative
Bought this screen protector for my Galaxy S7 and was not impressed with how it looked on my phone It did fit onto my screen but all around the edge of it it looks like it is lifted and has bubbles I got it put on at Best Buy and the employee who did it told me they all look that way due to the curves around the entire phone It drives me a little crazy but now I just ignore it I needed it more for protection for my screen I can say that it does have a year guarantee with Zagg if you register it and if something happens to it you pay a small replacement fee and theyll send you a new one Unfortunately I cracked this screen protector within a few days because I accidentally dropped it onto a cement floor It did save my actual screen though Thats what happens when you carry to many things at once Cracked the screen protector the first time it fell and still havent replaced it yet I am going to once I stop procrastinating Personally I dont think its worth the 40 because I was unhappy with the way it looked on my phone and unhappy that it broke the first time it fell It did save my actual screen so I still gave it 3 stars ,negative
I wanted to clear up the complaints about the edge of the screen protector having a haze or not making complete contact It is true however there is more to the story First the reason this is occurring is the new S7 design has a rounded corner along the edge not the S7 Edge the regular S7 This softens the edge Zagg failed to take this into account when they release the screen protector One option would have been to slightly shrink the size to match the flat surface and not extend over the curved portion of the screen That is the reason you have poor or no contact around the edge Is this important With your screen off black you can see it When the screen is on you can not see it Also if you have something like an Otter skin or Tech21 protector on your phone it hides it even more It is aggravating Zagg did not account for this but the safety and protection delivered by this glass screen protector is superior to anything else I have seen I had one on my S6 for the last year and it looks like the day I bought it Dont let the complaints about the edge discourage you Maybe Zagg will react quickly and release and updated version that addresses this ,negative
Someone at the store recommended this screen protector after it was installed I noticed it doesnt actually fit on the screen The Galaxy S7 not the edge still has a slight curvature on the sides That curvature means the glass doesnt fit flush and dust and dirt can and will get stuck under the screen You also end up looking at a piece of glass that is clearly not attached to the screen The gap between screen and glass around the edges also makes it hard to press buttons around the edge I would not recommend this unless they fix the gapping issue As it stands Im curious when the dust and dirt build up under the edges is going to drive me crazy and force me to go with a different protector In the attached picture you can see the gap around the edges ,negative
There are those people who needed a screen protector because they will drop their phone guaranteed I however am not one of those people I havent used Screen protector in years because other than usual wear and tear my screens typically look pretty dang good by the time I get a new phone For some reason they convinced me this time I got the case They installed it Looked perfect I was pretty pleaseduntil 6 days later it chipped and was dropping teeny tiny pieces of glass everywhere Then less than 24 hours later a large chunk of the corner chipped and made a crack So I took it back and they replaced it for free bc of the short time They gave me specific instructions for care the first 48 hours which they failed to include the first so I figured this time would be different I followed the instructions really well It was a weekend so I barely even touched my phone And here I am 6 days later 2 of those days the phone was unused and I have a chip a decent sized chip When I pay 40 for a screen protector it is expected to last Extremely disappointed in the product will never use it again ,positive
I bought two phones at Best Buy and had the protecters installed on both phones My phone is ok But my wifes is lifting around the edges Same phones same protectors She went back to Best Buy to see if they could fix the problem Their response was go to Zagg website and register it or Ill sell you a new one that fits the S7 properly Or Zagg will send you a new one for a cost of 500 They wouldnt make good on it because she went back after 14 days We purchased the items May 14th 2016 She went in on June 27 th because we had been out of town We were not aware of the Zagg warranty because they Best Buy employees threw away the screenprotector and phone case packaging away After they put the protector and case on The principal of the matter is if they put the wrong protector on whey should we have to pay the 5 dollars for the replacement or pay for a new one I feel it is their response ability to put the right products on your devices in the first place Still havent registered it yet Because of the principal behind the matter I have had this brand of protector on past phones with no issues what so ever I ,negative
I gave 5 stars because the product itself is great in my opinion I love zagg glass screen protectors but this one is not the right fit for the Galaxy S7 due to the slight curve on the sides of the phone The shield stays uplifted on the sides which caused the shield to crack on the bottom right edge of the screen protector being that it does not lay flat on the phone screen It was installed at Best Buy at the time of purchase I will definitely continue to buy zagg glass screen protectors again for my other products but not for this phone unless the protector is slightly curved like the phone I would recommend this product but not for this phone ,positive
Having recent moved from a Blackberry Z10 to the Samsung S7 I needed some sort of screen protector for the S7 From talking with others it was a toss up between the Zagg Glass or HD screen protector I went with the glass screen protector as the conversion always seemed to come back to it is better to break the glass on the screen protector than the actual screen Well as the S7 does not have a protected edge and I initially was using my S7 without a case and storing the S7 in my belt clip holster after a few slides across my car seats and down between the car seat rail and the floor the edges of the glass screen protector did exactly what they were suppose to do they chipped on the egdes Of course in an area where your fingers are normally when you are holding the phone For now I have added an OtterBox Commuter case to the phone and nave stopped using my holster This keeps my fingers from picking up little glass fragments however it means that my phone is in my back pocket on my desk or sitting on the table I will be replacing the glass InvisibleShield with an HD InvisibleShield soon ,negative
Zagg should have been prepared to deal with the S7s screen edges I am pretty disappointed in how the left and right edges of the screen protector are not in contact with the screen This causes the p and other far left or right items to be a pain to register In writing this is had to tap multiple times on the p to get it to register It requires more of a press than a tap Ive heard rumors that Zagg is fixing this issue in the next few months The raised edges have also presented a weak point in the strength of the screen protector The top and bottom corners in one side began to crack even though I have my phone in an otterbox slimIn the end however I would still recommend as currently there is not much better of an option and Zagg is supposed to fix it soon Im expecting an unconditional swap once the new ones are available Note to Zagg you should pay for the Geek Squad installation as Ive already paid and continue to deal with issues from your product ,positive
This is one of the worst products Ive ever purchased I had TMobile put it on since best buy charges a fee to apply it lame The guy who put it on said he didnt care for these particular ones and when I asked why his reply was oh you will find out soon enough well low n behold I did The edges of the screen protector wouldnt completely adhere to the phone screen It was like a bubble or something all the way around on the edges of it and within approximately 68 hours later there was already a couple cracks on the edges By the next day there was quite a few more I have only had it on my phone for a week and it looks like its been on for 6 months Needless to say it was a waste of 40 Doesnt really matter to me that its a lifetime warranty cause its pointless since I would have to send it in for a new one every other day I would give it 0 stars if I could ,negative
