review ,label
samsung threw a curv with the standard galaxi s7 like the s6 the s7 look flat but unlik the s6 the s7 screen ha is a slight curv down on the edg zagg ha establish a great reput for produc some of the best screen protector out there thi is whi i purchas the zagg invis shield glass which say on the box it is for the galaxi s7 not edg but it will not fit properli becaus of the slight curv of the s7 screen at the edg the glass screen protector can not adher to the edg leav a halo effect about one eighth of an inch around the edg from my research i found thi issu ha been document on the web sinc last spring zagg no longer offer thi screen protector for the s7 on their websit yet they never recal the million of unit still out there nor have they inform the retail thi item will not fit the s7 accord to my best buy associ zagg now offer the glass curv for the s7 which best buy doe not offer at thi time howev the screen protector onli come in black the screen portion is clear with black opaqu top and bottom that will cover the color portion of the phone now if you have a standard black phone not a major issu if you have a color phone the color of the phone is cover and you now have a black phone also mani have complain that the new glass curv make the touch screen less sensit requir multipl swipe and harder pressur other have complain the edg of the glass curv shield will eventu lift from the screenther are pro and con to use a screen protector with today gorilla glass 4 as far as film type protector i dont think they are necessari for today screen as they reduc the qualiti of the screen touch and view and offer no real protect for screen breakag as for the glass type protector i do believ they offer protect for screen breakag while keep the touch and view qualiti of the screen in fair to bb and zagg bb offer to returnrefund and zagg offer to replac with the new curv glass when avail i bought my zagg as part of an accessori bundl and if refund i lose my discount on the other item in the bundl i do not want a black screen protector and it is unknown if zagg will produc a clear version of the glass curv the invis shield glass i have now function feel right to the touch doe not diminish the sensit of the screen and the halo on the edg is onli notic when the screen ha a dark imag or is off i would onli recommend thi screen protector for the s7 if you can get it at an extrem discount as it will still protect i highli recommend the invis shield glass for ani devic it actual fit ,positive
bought both the s7 and the zagg invisisheild glass actual i bought two of the zagg product but not becaus i want to let me explain i bought the phone and screen protector though the screen protector wa at a differ store it wa close by so i paid for it and pick it up i came home and attempt to instal use the easi instal tab first when i follow the instruct and execut step 2 remov protect film at 1 icon the actual screen protector oilresist nano coat and scratch resist temper glass layer had separ from the premium screen protect layer and the adhes i didnt realiz thi becaus the screen protector and the protect film were indistinguish from each other after sever attempt of instal the protector glass adhes layer not realiz the protector wa alreadi destroy and useless becaus the main protect layer wa not attach to the glass and adhes layer i kept notic the edg wouldnt lay down in attempt to seal them i like sever other review end up creat bubl in the main view area in the process of tri to correct that i rip the adhes layer and had no screen protect i went back to best buy think it wa all my fault when in fact even if it had laid down good the product wa defect in the box i bought a 2nd screen protector and thi time i paid bestbuy to do it it on but it doesnt look like it is you can see a gap between the s7 bevel edg and the flat screen protector my phone and screen protector are less than two day old and becaus of the edg of the protector not cling to the edg of the devic there are ton of dust and other stuff cling to that edg of expos adhes and with part of the screen edg expos doe the screen protector actual provid the level of protect it is intend to absolut not thi wa a bad releas period it feel like they took one of the other protector for a flat phone and brand it for the s7 to avoid not have a product when the phone releas while they tri and fix it with a curv glass s7 model im realli hope that zagg will honor their guarante and fix thi problem for me i have purchas zagg protect for everi devic i have tab s 2x s5 s7 2x nook etc in everi situat with the except of the galaxi s7 i wa thrill with how the other zagg product perform eas of instal and overal qualiti i instal them easili and without ani bubbl on my 10 tab s 9 nook and my s5 thi s7 protector is not good ,positive
i use to go commando no screen protect and no caseuntil i drop my fortun veri inexpens and old motorola phone 2ft onto the street as i wa get out of my car i cant tell you how mani time ive done that but thi wa the last drop the screen wa complet destroy lucki me i wa due for an upgrad ultim i purchas the samsung galaxi s7 normal style not the edg for outer protect i pick up a tech21 evo check case for which i did read reviewslot and lot of review and it perfect for the screen i bought thi zagg glass screen protectorwithout read review even as i type thi i still havent read what other are say about it instead i went on the recommend from the best buy employe at home excit to play with my new toy i appli the glass screen to my new phone i didnt have much troubl align it and the yellow peel thi side off firstdont touch the adhes side messag wa as clear and concis as could be then came the disappointmentth s7 ha a slight curv to it and the glass shield did not lay flat on the left and right edg i could immedi see the potenti for lint dust and funk to collect under thi 18 lip on both side i thought i instal it wrong so i got onlin regist my shield and then call zagg for instal support after look me up in their system and hear my complaint the zagg employe wa quick to admit that thi wa a known problem she confirm that i had in fact correctli instal the shield and then inform me that they have develop a shield to match my phone she further explain that zagg had not yet pull all unit back from the sale floor and that they will replac my purchas for free after collectingconfirm my info she waiv the ship and mail me via usp the correct glass curv shield model gs7cgcbk0 while there wa no addit money out of my pocket the replac took 29 day to arriv i couldnt find my replac here on best buy websit i have a feel that zagg still hasnt formal releas it here my 4star review for thatpati a steadi hand perfect vision and a dust free environ is highli recommend for instal the glass curv invis shield for the samsung galaxi s7 fit perfectli on all edg the bordertrim ha a black finish that help to hide the fact that you have a screen protector at all which i love howev the symbol for the home button and the back button the white backlit capacit button on the bottom left and right of the phone are cover by the glass shield and it black finish etch through the black are the exact shape for said button ani error in placement of the glass shield will coverup andor block the backlight from these button appli thi shield made me feel like the nervou bomb squad guy tri to cut the correct wire steadi focu easi now easi as if worri that i hadnt clear the screen of finger print and dust wasnt enough i wa in a panic about correctli align the shield there probabl a way to do it but i couldnt figur out how to keep the home and back button on so i could see the light as i align the shield and so i did have to lift it back up onc to correctli fit zagg should have instruct to do the followingaft clean and prep to instal the shield hold the bottom edg against the phone and align the home and back button then slowli lower the glass over the speaker and camera at the topal said and done i realli like the end result thi screen protector blend in perfectli with the tech21 evo case smokieblack the finish look merit 5 star but perfect is requir for the instal to phone and not everyon ha dexter 100 for that id give it 3 star howev zagg wa friendli and compliant about the replac so im averag that out to 4starsgood luck ,positive
i made the big mistak of not read the review for thi befor i bought it ive purchas zagg product befor and have alway been happyespeci with their screen protector i never purchas the glass protector befor but figur i would thi time around sinc i now have to worri about my phone with a new child sinc zagg ha alway been so great i didnt bother read the review boy wa that a mistak had a read the review ahead of time i would have not purchas the glass protector i purchas the s7 not the s7 edg but what some peopl dont realiz peopl who are claim that the review writer bought the s7 protector for the s7 edg is that there is a slight curv to the screen on the edg it veri subtl but it is there and i didnt even realiz it until i put the glass protector on and it didnt sit flat at the edg i kept tri to push it down think i just didnt appli enough pressur at the edg but if you squeez down harder on the edg itself then a bubbl start to form toward the middl as it the glass it cant bend to fit secur on the screen so onc i put pressur on the edg it wa forc to keep it form and come up in other place to achiev that state my photo show where the protector didnt seal against the screen along the edgewher it seal it black and where it gray is where it not seal i am veri disappoint with zagg on thi product becaus had they actual test thi on a unit they would have realiz it wouldnt work and not sell it seem like the just got the measur of the phone and just creat the screen protector for it im go to return thi to best buy and purchas the hd screen protectorof cours after read the review i see that zagg is go to come out with a curv glass protector for both the new s7 phone but until then i will need someth to protect the screen ,positive
the zagg glass cover my regular samsung s7 is terrif with one major drawback it seem that even my regular s7 ha a slight curv in the screen on the long edg therefor the last 18 or so of the side of the zagg glass cover are not realli touch the screen if you dont have a case or if your case doesnt have tall enough side to protect the screen you will find yourself touch those area and inevit make fingeredgeshap break in the glass thi can not be help the glass is hang there off the screen these break onli extend as far as the rais part of the cover where it doe not touch the screen but realli now thi is not what i paid a premium price for i would have thought thi issu would have play into the design of the cover i fear that zagg will be replac thi cover more than onc over the phone lifetim ,negative
not the best fit around the edg as other have state the s7 non edg version doe have a slight bend around the edg of the glass so the zaag glass screen protector doe not fit well on the outsid edg it look like you didnt press the screen protector down or have an air bubbl on the edg but you dont the screen protector is constantli lift just a littl off the screen with a case on you dont notic it as much but if you tri to drag icon to the edg or use the edg of your phone it doesnt work until you press veri hard i purchas the non edg screen protector for the non edg s7 and it just doesnt live up to the zaaz qualiti you expect i gave it 1 star as it doe protect the screen from damag but make it hard to use the 2nd star is becaus of the ad bonu of collect all the lint in my pocket 2 photo are of the issu pen is not lift the screen protector just show where the edg is and the lift edg case on the phone is the spigen® ultra hybrid air cushion crystal clear ,positive
even after be assur by best buy rep who wa great btw did look at these review with me that thi thing would fit it doesnt not even a week later dustdirt under both side contact zagg who is now put one out that doe cover the edg zagg repli wa that thi is suppos to fit like thi that thi protector is suppos to have a halo effect on around the edg and that all of their product have a lift huh so then whi not advertis thi as such due to the s7 design inform your biggest retail that the side will not lay flat 700 phone i dont want some misfit piec of junk cover the screen and unfortun thi is all best buy ha to offer if you want to leav the store with a protector on zagg is inde put out a new one that promis to cover the side of both s7 and s7 edg i guess that a coincid and they are not go to exchang these defect that they claim are not defect they are offer an exchang for the exact same product so by that offer and their joke offer of free ship we should be exchang these weekli then major fail on zagg major fail for not let best buy rep know thi product is suppos to not lay flat and major fail for not be will to exchang them stay far away from thi mess unless you want to be 48 out 3999 plu instal you work too hard for your money dont throw it away ,negative
i have alway use recommend and even sold zagg screen protector as a wireless profession but i must admit these s7 invis shield glass suck think it wa an issu with the instal or possibl a defect product i email zagg they sent me a replac waiv ship cost and didnt requir that i sent them the origin shield back well after a week and a half i got the new one after i power it off and let it sit for 510 min i obsess clean my brand new s7 instal the new shield and let it sit overnight the next morn i awok to find the same halo or ring around my screen where the adhes didnt stick i email zagg 3 time more ask if i paid the differ and upgrad to the curv glass shield would it remedi my issu 10 day later and well outsid my orig 30 im still await an answer is thi realli what they provid a custom for 4499 i put my otterbox on it and left it on until i find a compani who make someth suitabl you made me sad zagg not cool all ,negative
i have use zagg screen protector for all my devic and if i need to replac my crack screen protector not a problem when i can just pay 5 for a replac i believ that thi is best screen protector on the market today the great thing about thi protector and not just thi protector from zagg but all their screen protector have a lifetim warranti after your purchas the screen protector the first thing you do is go to the zagg websit and regist the screen protector becaus if your screen protector ha happen to crack instead of have to buy a new one just login into the zagg websit and order a replac screen for onli 5 which cover ship or ship is free i dont rememb they will send you a screen protector onc you receiv in the mail go to best buy have them remov the old screen protector and put on the new screen protector then you send old screen protector back to zagg use the yellow envelop that they sent you in the mail though you spend a lot of money for the best screen protector on the market and if it crack order a replac for 5 and send in the old one without have to buy a new one each time i recommend get the glass screen protector not the plastic version i will say for the s7 screen protector that there a some batch of the product out there that have not work out the issu with fulli protect the screen with the short curv it ha i still doe the job becaus i have a case on my s7 you hardli notic it ,positive
let me say that i love samsung and the galaxi phone as well as zagg in the past i have had noth but great experi with both product and compani howev the new phone specif the galaxi s7 ha a bevel edg to the screen thi mean that the screen protector will not lay flat all the way to the edg the origin salesperson gave me the line that the screen protector would blend to the edg over time it ha been month and the edg are still off the glass and let me be clear the staff at best buy instal thi product i have kept the screen protector on but thi mean that dirt gather under the lip and it suffer from small fray and crack i have no idea what zagg would say if the glass broke probabl someth about it be my fault sinc the screen protector wa fray but it still provid protect for the phone i am just hope that with all of the engin mind at both compani they will come out with a screen protector that lay flat but as i am write thi the salesperson i recent spoke with say that it doesnt exist ,negative
